id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1,0.520612,tcp,dns,INT,32,2,1459.0,58.0,131.395,62,62,1591.322,322.928,2,0,13.864,20.502,1.207,0.251,0,930130371,455078298,255,0.091926,0.005763,0.023887,210.0,8.8,0,123.0,2,3,1,4,1,2,0,1,1,3,3,0,Exploits,1
2,0.845515,tcp,dns,REQ,12,8,208.0,35.0,14.124,128,31,140.015,966.877,3,2,2.252,4.739,7.43,4.406,0,1562295938,2070151621,255,0.080612,0.008264,0.01164,19.3,147.5,0,37.0,2,1,1,3,3,1,1,0,0,5,1,1,Normal,0
3,0.812385,tcp,smtp,FIN,28,11,1256.0,349.0,2.358,254,254,1228.123,978.045,0,0,17.363,17.964,3.844,0.04,255,4054220893,1491655999,255,0.189522,0.041355,0.005983,364.2,301.2,0,531.0,5,1,1,1,2,1,1,0,0,0,2,1,DoS,1
4,0.067365,tcp,ssh,CON,26,5,1785.0,132.0,2.977,31,254,204.305,646.18,1,1,0.966,1.695,2.894,4.8,0,2045245174,700752560,255,0.170108,0.010086,0.033312,330.0,180.7,0,19.0,1,3,3,2,1,3,0,0,0,6,5,0,Exploits,1
5,1.206058,udp,dhcp,ECO,7,10,1638.0,21.0,12.221,128,254,349.922,41.368,2,3,0.18,10.06,6.958,2.643,255,2111756940,1580395718,0,0.09088,0.077038,0.003723,80.8,108.7,0,312.0,4,3,1,2,4,1,0,0,0,3,3,0,Normal,0
6,0.085489,tcp,pop3,REQ,29,15,5736.0,711.0,28.585,254,254,736.088,283.781,1,0,22.667,12.565,5.474,7.1,255,2504878584,43841479,0,0.143011,0.008766,0.022376,17.0,204.0,0,411.0,5,2,1,4,3,2,0,0,0,3,2,0,Backdoor,1
7,0.640118,tcp,-,FIN,29,7,398.0,282.0,72.585,254,62,519.737,880.835,0,3,0.232,11.407,2.076,0.908,255,2255744997,2541261732,255,0.034748,0.022756,0.017332,3.3,11.1,1,116.0,4,1,0,3,0,3,0,1,0,3,1,0,Exploits,1
8,0.052453,tcp,http,RST,31,3,2417.0,546.0,106.17,62,254,594.695,2126.901,1,0,1.331,32.605,3.149,4.066,255,3919016998,1299760746,255,0.010159,0.001986,0.010755,210.6,22.9,0,371.0,4,2,3,0,7,4,0,0,0,2,1,0,Exploits,1
9,0.110999,udp,dhcp,INT,11,8,514.0,286.0,8.623,31,31,1650.262,51.925,0,0,13.784,4.311,4.696,8.418,255,881748103,16063792,255,0.256141,0.111371,0.000358,10.2,189.7,1,149.0,5,1,3,2,1,2,0,0,0,5,4,1,Normal,0
10,0.65596,tcp,dns,REQ,5,9,261.0,652.0,2.976,128,254,3916.661,30.955,1,2,5.593,19.116,1.433,1.379,0,3196393888,339987082,255,0.007105,0.013274,0.007367,21.9,9.8,0,2.0,4,2,4,1,2,2,0,0,1,2,5,1,Normal,0
11,0.157848,tcp,smtp,ECO,11,9,1074.0,250.0,41.447,62,254,1462.599,1170.639,1,0,3.339,2.853,0.133,12.158,0,3434994518,3082870730,255,0.153852,0.038097,0.014447,126.5,1.2,0,20.0,1,5,2,2,2,0,0,0,0,3,2,0,Normal,0
12,0.151649,tcp,-,ECO,32,5,2176.0,479.0,26.227,128,62,324.983,2310.552,1,2,4.445,6.557,3.704,0.018,0,2501839386,1885938212,0,0.084105,0.009702,0.005144,61.6,317.2,0,136.0,4,2,2,2,2,1,0,0,0,3,2,0,Reconnaissance,1
13,1.280709,tcp,-,FIN,27,13,2869.0,69.0,12.004,62,254,519.305,433.032,2,2,9.453,11.32,2.714,7.83,255,1933220170,2268822717,0,0.038905,0.021629,0.031786,117.6,71.4,0,197.0,6,4,4,3,3,2,0,0,0,2,1,0,Generic,1
14,0.082255,icmp,dns,INT,31,6,514.0,56.0,9.515,31,254,1389.969,3079.489,4,3,2.783,4.515,7.927,0.093,255,3958195062,2375712429,0,0.072015,0.03032,0.005997,48.2,15.7,0,100.0,3,1,6,1,2,1,0,0,0,2,3,0,Fuzzers,1
15,0.447651,udp,ssh,CON,12,7,462.0,53.0,3.095,254,31,1444.07,1303.525,1,1,2.061,26.757,6.008,0.034,255,473830192,2663023654,255,0.031416,4.7e-05,0.074206,8.0,82.7,0,397.0,4,0,1,2,5,2,0,0,1,6,6,0,Normal,0
16,0.867368,arp,pop3,ECO,15,7,2781.0,634.0,45.339,31,62,1475.297,389.157,1,1,3.982,13.531,5.13,9.702,0,2708899856,3889008499,0,0.008272,0.016057,0.007282,63.2,10.7,1,177.0,4,1,3,3,4,0,0,0,0,4,2,0,Normal,0
17,0.437668,icmp,dhcp,RST,29,9,767.0,668.0,18.498,128,254,2293.193,2632.157,3,1,6.159,7.09,10.141,0.616,255,317974475,267146766,255,0.002864,0.001846,0.033123,149.8,7.3,2,24.0,2,1,3,3,3,4,0,0,1,1,1,0,Generic,1
18,0.248938,tcp,http,REQ,11,5,354.0,181.0,1.742,62,254,1850.951,101.749,2,0,1.717,3.908,5.067,7.459,255,2429586704,4189921537,0,0.012232,0.081984,0.013881,67.7,73.3,1,212.0,2,2,3,2,2,5,0,0,0,2,1,0,Normal,0
19,0.011128,tcp,http,FIN,28,8,1012.0,12.0,55.351,128,128,73.938,136.638,0,1,14.486,2.657,4.791,2.731,255,955469803,2418232750,255,0.06306,0.013695,0.005335,424.1,90.0,0,108.0,6,2,2,3,3,3,0,0,0,2,1,0,Fuzzers,1
20,0.553999,tcp,smtp,RST,32,3,880.0,546.0,2.125,128,31,2245.571,295.507,1,0,3.506,26.857,5.318,9.267,0,622062094,636574937,255,0.038732,0.002296,0.001613,28.6,17.6,0,1094.0,5,2,3,1,2,3,0,0,0,1,7,0,Generic,1
21,0.547456,tcp,smtp,REQ,36,6,660.0,316.0,76.942,31,62,915.262,288.213,2,1,2.188,15.218,0.812,1.039,0,53989457,3507912597,255,0.124114,0.007493,0.016972,38.8,4.6,0,53.0,2,0,1,2,0,1,0,0,0,2,3,0,Exploits,1
22,0.412611,tcp,-,CON,11,17,63.0,452.0,28.392,128,128,2694.555,1846.279,0,1,13.809,23.33,2.008,3.342,0,3957277209,105237306,255,0.007742,0.005644,0.066198,18.7,199.2,0,157.0,4,1,0,4,2,2,0,1,0,5,3,0,Normal,0
23,0.397582,tcp,dns,INT,22,10,2768.0,908.0,67.008,128,31,972.806,1178.679,0,1,3.268,2.729,2.541,1.388,0,1299605073,3850750993,0,0.034336,0.003542,0.005431,211.0,20.7,0,119.0,4,1,3,2,1,4,0,0,0,3,3,0,Backdoor,1
24,0.579539,tcp,dhcp,INT,26,4,2595.0,362.0,58.793,31,62,1820.254,1703.646,0,1,8.306,4.464,9.65,6.058,255,3203073673,547632152,0,1.5e-05,0.005066,0.001203,12.5,11.5,0,116.0,2,1,2,2,1,3,0,0,1,0,3,0,DoS,1
25,0.075648,tcp,http,CON,25,4,1997.0,90.0,0.804,128,254,80.87,215.407,2,1,9.744,7.973,2.886,1.206,0,3526307508,2017141680,255,0.122423,0.009633,0.000762,36.3,129.6,2,776.0,4,1,2,0,1,0,1,0,0,0,2,0,Exploits,1
26,0.222633,udp,pop3,ECO,11,11,72.0,319.0,47.542,128,254,316.369,104.8,1,1,7.227,2.983,1.293,5.616,0,50686354,4149355889,255,0.096903,0.008999,0.020543,54.1,67.6,1,41.0,8,1,1,1,1,4,0,0,1,2,2,1,Normal,0
27,1.050989,udp,dns,ECO,17,7,657.0,527.0,11.585,62,128,122.25,958.069,0,0,7.914,16.409,6.093,2.848,255,1850170632,4055613165,0,0.020301,0.006893,0.004796,7.4,43.0,0,87.0,1,2,2,3,0,3,0,0,1,1,4,1,Normal,0
28,0.03475,arp,smtp,FIN,11,10,379.0,457.0,46.934,128,254,889.287,146.007,0,1,2.302,11.32,3.909,0.002,0,2963053318,1075271321,255,0.066231,0.010895,0.070432,4.7,53.6,0,190.0,0,1,0,4,1,2,0,0,0,4,6,0,Normal,0
29,1.473212,tcp,ssh,ECO,12,8,44.0,1013.0,11.086,62,31,523.629,155.827,1,0,27.024,6.639,5.687,7.38,255,2394174779,3227341287,255,0.025898,0.021194,0.030476,174.2,143.8,0,474.0,4,2,1,1,1,3,0,0,0,1,3,0,Normal,0
30,0.703708,tcp,ssh,INT,28,4,293.0,133.0,30.066,128,128,172.642,111.687,0,0,13.737,7.922,9.887,2.398,0,1045751267,1673366683,0,0.033209,0.007966,0.000418,36.8,112.6,0,8.0,1,1,1,1,1,1,0,1,0,3,4,0,Generic,1
31,0.20669,arp,ssh,RST,33,4,1047.0,85.0,116.685,254,31,4004.373,758.703,0,2,2.62,1.588,0.589,2.145,0,3785301316,1912743881,0,0.001373,0.000317,0.018338,151.1,162.3,0,496.0,1,1,0,2,2,2,0,1,0,4,6,0,Exploits,1
